Kamardanga Sitalatala - Howrah,22.59629,88.30235,Kamardanga Sitalatala - Howrah is a renowned Durga puja in North Kolkata (Calcutta);
Arupara Milan Sangha - Howrah,22.59784,88.30094,Arupara Milan Sangha - Howrah is a renowned Durga puja in North Kolkata (Calcutta);
Bangur Avenue Protirodh Bahini,22.60689,88.40924,Bangur Avenue Protirodh Bahini is a renowned Durga puja in North Kolkata (Calcutta);
Laketown Vivekananda Park,22.6101,88.40247,Laketown Vivekananda Park is a renowned Durga puja in North Kolkata (Calcutta);
Jawpur Bayam Samiti,22.61248,88.40178,Jawpur Bayam Samiti is a renowned Durga puja in North Kolkata (Calcutta);
Pragati Pally Adhibasi Brindra,22.60959,88.40066,Pragati Pally Adhibasi Brindra is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake AD Block,22.59685,88.40644,Salt Lake AD Block is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake AG Block,22.59842,88.42328,Salt Lake AG Block is a renowned Durga puja in North Kolkata (Calcutta);
Sangrami,22.59047,88.39475,Sangrami is a renowned Durga puja in North Kolkata (Calcutta);
Shurir Bagan,22.59455,88.38756,Shurir Bagan is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake CA Block,22.58749,88.39968,Salt Lake CA Block is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake BG Block,22.59544,88.42311,Salt Lake BG Block is a renowned Durga puja in North Kolkata (Calcutta);
Salt Lake AH Block,22.59423,88.42726,Salt Lake AH Block is a renowned Durga puja in North Kolkata (Calcutta);
Wellington Byabsayee Brinda,22.56418,88.35855,Wellington Byabsayee Brinda is a renowned Durga puja in North Kolkata (Calcutta);
United Club,22.59126,88.39126,United Club is a renowned Durga puja in North Kolkata (Calcutta);
Dum Dum Mall Palli,22.6284,88.42161,Dum Dum Mall Palli is a renowned Durga puja in North Kolkata (Calcutta);
Kankurgachi Progressive Youth,22.58221,88.39187,Kankurgachi Progressive Youth is a renowned Durga puja in North Kolkata (Calcutta);
Subodh Mallick Square,22.56345,88.35964,Subodh Mallick Square is a renowned Durga puja in North Kolkata (Calcutta);
Patoldanga Saradia Mahapuja,22.57338,88.36763,Patoldanga Saradia Mahapuja is a renowned Durga puja in North Kolkata (Calcutta);
Nabadiaganta,22.61486,88.40275,Nabadiaganta is a renowned Durga puja in North Kolkata (Calcutta);
Jorashanko Saater Palli,22.58403,88.36142,Jorashanko Saater Palli is a renowned Durga puja in North Kolkata (Calcutta);
Simla Sporting Club,22.5851,88.36671,Simla Sporting Club is a renowned Durga puja in North Kolkata (Calcutta);
Krishnabagan Nbajiban Sangha,22.58611,88.37396,Krishnabagan Nbajiban Sangha is a renowned Durga puja in North Kolkata (Calcutta);
Rammohan Smriti Sangha,22.58433,88.3728,Rammohan Smriti Sangha is a renowned Durga puja in North Kolkata (Calcutta);
Halasibagan,22.58984,88.37784,Halasibagan is a renowned Durga puja in North Kolkata (Calcutta);
Amra Sabai - Ramdulal Sarkar Street,22.58801,88.36685,Amra Sabai - Ramdulal Sarkar Street is a renowned Durga puja in North Kolkata (Calcutta);
Grey Street Sarbojanin,22.59469,88.36937,Grey Street Sarbojanin is a renowned Durga puja in North Kolkata (Calcutta);
4 No Milani,22.47793,88.37235,4 No Milani is a renowned Durga puja in North Kolkata (Calcutta);
Jan Mangal Samity,22.51809,88.34154,Jan Mangal Samity is a renowned Durga puja in North Kolkata (Calcutta);
22 Pally Northern Park,22.53544,88.34988,22 Pally Northern Park is a renowned Durga puja in North Kolkata (Calcutta);
Park Circus,22.54307,88.36775,Park Circus is a renowned Durga puja in South Kolkata (Calcutta);
Maddox Square,22.5264,88.35463,Maddox Square is a renowned Durga puja in South Kolkata (Calcutta);
Deshapriya Park,22.51866,88.35324,Deshapriya Park is a renowned Durga puja in South Kolkata (Calcutta);
41 Pally,22.48303,88.3385,41 Pally is a renowned Durga puja in South Kolkata (Calcutta);
Ajeya Sanghati,22.48055,88.33741,Ajeya Sanghati is a renowned Durga puja in South Kolkata (Calcutta);
Vivekananda Sporting Club,22.47633,88.33849,Vivekananda Sporting Club is a renowned Durga puja in South Kolkata (Calcutta);
Vivekananda Park Athletic Club,22.48101,88.33696,Vivekananda Park Athletic Club is a renowned Durga puja in South Kolkata (Calcutta);
Pally Unnayan Samity Paschim Putiary,22.47812,88.34224,Pally Unnayan Samity Paschim Putiary is a renowned Durga puja in South Kolkata (Calcutta);
Naskarpara Pally Unnayan Samity - Haridevpur,22.48022,88.33953,Naskarpara Pally Unnayan Samity - Haridevpur is a renowned Durga puja in South Kolkata (Calcutta);
Barisha Club- Srishti Sahajatri,22.48151,88.31286,Barisha Club- Srishti Sahajatri is a renowned Durga puja in South Kolkata (Calcutta);
Barisha Janakalyan Sangha,22.48504,88.31274,Barisha Janakalyan Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Sabeda Bagan,22.48829,88.31666,Sabeda Bagan is a renowned Durga puja in South Kolkata (Calcutta);
Behala Club,22.50538,88.3143,Behala Club is a renowned Durga puja in South Kolkata (Calcutta);
Debdaru Fatak,22.50271,88.31747,Debdaru Fatak is a renowned Durga puja in South Kolkata (Calcutta);
Behala Sree Sangha,22.49766,88.32018,Behala Sree Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Behala Youngmen's Association,22.50706,88.3251,Behala Youngmen's Association is a renowned Durga puja in South Kolkata (Calcutta);
Behala Adarsha Pally,22.49998,88.32762,Behala Adarsha Pally is a renowned Durga puja in South Kolkata (Calcutta);
Badamtala Ashar Sangha,22.51786,88.34399,Badamtala Ashar Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Behala Nutan Dal,22.50122,88.31956,Behala Nutan Dal is a renowned Durga puja in South Kolkata (Calcutta);
Bosepukur Talbagan,22.51937,88.38397,Bosepukur Talbagan is a renowned Durga puja in South Kolkata (Calcutta);
Rajdanga Tribarna Sangha,22.5163,88.38835,Rajdanga Tribarna Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Bosepukur Sitala Mandir,22.51915,88.38487,Bosepukur Sitala Mandir is a renowned Durga puja in South Kolkata (Calcutta);
Singhi Park,22.52123,88.36299,Singhi Park is a renowned Durga puja in South Kolkata (Calcutta);
Ekdalia Evergreen Club,22.52111,88.36644,Ekdalia Evergreen Club is a renowned Durga puja in South Kolkata (Calcutta);
Jodhpur Park,22.5047,88.36502,Jodhpur Park is a renowned Durga puja in South Kolkata (Calcutta);
Selimpur Pally,22.50508,88.36814,Selimpur Pally is a renowned Durga puja in South Kolkata (Calcutta);
Santoshpur Lake Pally,22.4915,88.38277,Santoshpur Lake Pally is a renowned Durga puja in South Kolkata (Calcutta);
Mudiali Club,22.51011,88.34672,Mudiali Club is a renowned Durga puja in South Kolkata (Calcutta);
Shibmandir Sarbojanin Durgotsab,22.51082,88.34938,Shibmandir Sarbojanin Durgotsab is a renowned Durga puja in South Kolkata (Calcutta);
Naktala Udayan Sangha,22.4742,88.36652,Naktala Udayan Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Rajdanga Naba Uday Sangha,22.51653,88.39143,Rajdanga Naba Uday Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Suruchi Sangha,22.50934,88.33366,Suruchi Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Tridhara Sammilani,22.51923,88.35537,Tridhara Sammilani is a renowned Durga puja in South Kolkata (Calcutta);
Pratapaditya Road Tricone Park,22.51349,88.34465,Pratapaditya Road Tricone Park is a renowned Durga puja in South Kolkata (Calcutta);
Sanghasree,22.5213,88.34579,Sanghasree is a renowned Durga puja in South Kolkata (Calcutta);
25 Pally,22.53907,88.32653,25 Pally is a renowned Durga puja in South Kolkata (Calcutta);
Mukul Sangha,22.50335,88.3137,Mukul Sangha is a renowned Durga puja in South Kolkata (Calcutta);
66 Palli,22.51814,88.34264,66 Palli is a renowned Durga puja in South Kolkata (Calcutta);
Hindustan Park,22.51759,88.36237,Hindustan Park is a renowned Durga puja in South Kolkata (Calcutta);
Adi Lake Palli,22.51453,88.34938,Adi Lake Palli is a renowned Durga puja in South Kolkata (Calcutta);
Bharat Mata,22.48801,88.36248,Bharat Mata is a renowned Durga puja in South Kolkata (Calcutta);
Golfgreen Phase 2,22.49225,88.3608,Golfgreen Phase 2 is a renowned Durga puja in South Kolkata (Calcutta);
Santoshpur Trikon Park,22.49299,88.37844,Santoshpur Trikon Park is a renowned Durga puja in South Kolkata (Calcutta);
Netaji Nagar Sarbojanin,22.48083,88.35762,Netaji Nagar Sarbojanin is a renowned Durga puja in South Kolkata (Calcutta);
Netaji Jatiyo Sebadal,22.48499,88.35823,Netaji Jatiyo Sebadal is a renowned Durga puja in South Kolkata (Calcutta);
New Alipore Children's Park,22.50714,88.33702,New Alipore Children's Park is a renowned Durga puja in South Kolkata (Calcutta);
Pally Mangal Samity,22.50301,88.36396,Pally Mangal Samity is a renowned Durga puja in South Kolkata (Calcutta);
Poddar Nagar Park,22.50088,88.36443,Poddar Nagar Park is a renowned Durga puja in South Kolkata (Calcutta);
Chakraberia Sarbojanin,22.53364,88.35189,Chakraberia Sarbojanin is a renowned Durga puja in South Kolkata (Calcutta);
Babubagan Club,22.50797,88.36852,Babubagan Club is a renowned Durga puja in South Kolkata (Calcutta);
Barisha Tarun Tirtha,22.48412,88.32342,Barisha Tarun Tirtha is a renowned Durga puja in South Kolkata (Calcutta);
74 Pally,22.53943,88.32572,74 Pally is a renowned Durga puja in South Kolkata (Calcutta);
Kabitirtha,22.54105,88.32149,Kabitirtha is a renowned Durga puja in South Kolkata (Calcutta);
Pally Saradiya Club,22.54301,88.32117,Pally Saradiya Club is a renowned Durga puja in South Kolkata (Calcutta);
Behala 29 Palli,22.50734,88.32242,Behala 29 Palli is a renowned Durga puja in South Kolkata (Calcutta);
Baishnabghata Patuli Upanagari,22.47049,88.3872,Baishnabghata Patuli Upanagari is a renowned Durga puja in South Kolkata (Calcutta);
Kendua Shanti Sangha - Patuli,22.47207,88.38154,Kendua Shanti Sangha - Patuli is a renowned Durga puja in South Kolkata (Calcutta);
Falguni Sangha,22.52179,88.36582,Falguni Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Chetla Agrani Club,22.51644,88.33715,Chetla Agrani Club is a renowned Durga puja in South Kolkata (Calcutta);
Chelta Sarbasadharaner Club,22.51743,88.33992,Chelta Sarbasadharaner Club is a renowned Durga puja in South Kolkata (Calcutta);
Selimpur Naskarpara,22.5048,88.37606,Selimpur Naskarpara is a renowned Durga puja in South Kolkata (Calcutta);
Bengal United Club,22.51206,88.34784,Bengal United Club is a renowned Durga puja in South Kolkata (Calcutta);
Chandranath Chatterjee Street,22.52669,88.34584,Chandranath Chatterjee Street is a renowned Durga puja in South Kolkata (Calcutta);
Sebak Sangha,22.51166,88.34981,Sebak Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Dilip Smriti Sangha,22.51779,88.34493,Dilip Smriti Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Ekush Pally Sarbojanin Durgotsab,22.52924,88.36837,Ekush Pally Sarbojanin Durgotsab is a renowned Durga puja in South Kolkata (Calcutta);
Acharya Prafulla Sangha - Behala,22.49065,88.31346,Acharya Prafulla Sangha - Behala is a renowned Durga puja in South Kolkata (Calcutta);
Adi Ballygunge,22.53006,88.3722,Adi Ballygunge is a renowned Durga puja in South Kolkata (Calcutta);
Ballygunge Cultural Association,22.51638,88.3558,Ballygunge Cultural Association is a renowned Durga puja in South Kolkata (Calcutta);
Barisha Sabuj Sathi Club,22.47821,88.31075,Barisha Sabuj Sathi Club is a renowned Durga puja in South Kolkata (Calcutta);
Behala Arcadia Sarbojanin,22.4942,88.31516,Behala Arcadia Sarbojanin is a renowned Durga puja in South Kolkata (Calcutta);
Durgabari,22.49988,88.31576,Durgabari is a renowned Durga puja in South Kolkata (Calcutta);
Ganbani Sangha,22.48876,88.3278,Ganbani Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Samaj Sebi Sangha,22.51438,88.35619,Samaj Sebi Sangha is a renowned Durga puja in South Kolkata (Calcutta);
Sodepur Pragati Sangha (Haridevpur),22.48116,88.33161,Sodepur Pragati Sangha (Haridevpur) is a renowned Durga puja in South Kolkata (Calcutta)- This should not be confused with Sodepur in North Kolkata;
